n,m,d,p,Ridge R^2,Lasso R^2
0,0,0,0,0.021595721011241853,0.023217206524378975
0,0,1,1,0.047621653728024294,0.04974568763198073
0,0,2,2,0.18019874310754225,0.17729961597712507
0,0,3,3,0.2135063073431378,0.21128975505971015
0,0,4,4,0.2550636631479756,0.25391931601755013
0,0,5,5,0.26881846284047206,0.2707263926800303
0,0,6,6,0.4575318089556254,0.45694542480132117
0,0,7,7,0.5488708156452934,0.5489621000045073
0,0,8,8,0.627374086062381,0.6279360736341741
0,0,9,9,0.652713618742747,0.6517076996461276
0,1,0,1,0.07039005986962554,0.06285603448431387
0,1,1,2,0.13701329938623008,0.13382473571173215
0,1,2,3,0.14299576054827434,0.14022947079154235
0,1,3,4,0.2270104484753539,0.22774007966258691
0,1,4,5,0.3176011227847586,0.31137654604272125
0,1,5,6,0.4466620861069839,0.44144527984887305
0,1,6,7,0.5574927871621697,0.558041809378905
0,1,7,8,0.6189383310180838,0.6206471535456353
0,1,8,9,0.6848226554981789,0.6834303671713304
0,1,9,10,0.6560534845885584,0.6566236869039752
0,2,0,2,0.1590255444810238,0.15557147841213526
0,2,1,3,0.18194230845487136,0.18233154452480294
0,2,2,4,0.2997727575159026,0.3030297298054473
0,2,3,5,0.38835852690438566,0.3837661964453756
0,2,4,6,0.45303730620502514,0.4460575538796233
0,2,5,7,0.5527246462131788,0.5494443335846084
0,2,6,8,0.6360655795635929,0.63693988329429
0,2,7,9,0.6614911811458448,0.6624649983025649
0,2,8,10,0.6976896350444133,0.6972518264535463
0,2,9,11,0.6668866390367589,0.6668838656805689
0,3,0,3,0.20904903468456193,0.20769907945333965
0,3,1,4,0.25052778139749854,0.2527752970741861
0,3,2,5,0.3300742811805766,0.33512870813956963
0,3,3,6,0.4394878855689014,0.4367699788366681
0,3,4,7,0.5870088852579896,0.5819967259776113
0,3,5,8,0.6621231462906969,0.6592211353651598
0,3,6,9,0.695579882030636,0.6948938767760969
0,3,7,10,0.7080741036749791,0.7072018579134809
0,3,8,11,0.6973502277077602,0.6965127865746132
0,3,9,12,0.7193733504616688,0.7175039486383552
0,4,0,4,0.28283547274593557,0.2817014556843984
0,4,1,5,0.29681371251027255,0.2955290783116552
0,4,2,6,0.4572106822893559,0.45523013713652516
0,4,3,7,0.6097050554870829,0.606875553733232
0,4,4,8,0.6636714574388585,0.6595810073170776
0,4,5,9,0.6696641823949963,0.6685852742044268
0,4,6,10,0.7108499823695461,0.7103450377432776
0,4,7,11,0.7140515042805591,0.7137997638549456
0,4,8,12,0.7164506022956922,0.7158834944251847
0,4,9,13,0.7247775868262749,0.7215323105550209
0,5,0,5,0.29961453357298284,0.3014518999182383
0,5,1,6,0.46209493783066347,0.4612341610287022
0,5,2,7,0.5616807937462456,0.5636680508270373
0,5,3,8,0.6772896947389653,0.6754311134504664
0,5,4,9,0.7184725649053295,0.7169753049710763
0,5,5,10,0.6967337352599574,0.6964946371564238
0,5,6,11,0.7189601247275662,0.7180172165280886
0,5,7,12,0.7521429088277588,0.7502261817576983
0,5,8,13,0.7226061481929165,0.7243674935863014
0,5,9,14,0.7495093366673993,0.7453699934473103
0,6,0,6,0.45996599570563856,0.4575147926591481
0,6,1,7,0.4861144920723357,0.4868282389003892
0,6,2,8,0.6511584885797908,0.649054481442982
0,6,3,9,0.6862231591145772,0.6884069473136463
0,6,4,10,0.7258642850784953,0.7262191152375859
0,6,5,11,0.6889426816063958,0.689823477554929
0,6,6,12,0.726001112322268,0.7250974634605445
0,6,7,13,0.7450364474709856,0.7471464386941655
0,6,8,14,0.780282235816207,0.7768269529552543
0,6,9,15,0.7447670679339512,0.744746907830462
0,7,0,7,0.5621678651980765,0.5600078725758563
0,7,1,8,0.6440153272528781,0.6423398339245472
0,7,2,9,0.6661957968071748,0.6624951494319968
0,7,3,10,0.6741095748229979,0.6756791738443515
0,7,4,11,0.716258994067779,0.712707813026396
0,7,5,12,0.7132102647673204,0.7125376281169152
0,7,6,13,0.7780715764569888,0.7755644726141377
0,7,7,14,0.8483105066375716,0.845896253661611
0,7,8,15,0.8293795446558749,0.8282920734689166
0,7,9,16,0.7973917852464233,0.7936942435522105
0,8,0,8,0.6689642141249772,0.6658175183629909
0,8,1,9,0.7111163299377501,0.7115867127759175
0,8,2,10,0.7157047625138037,0.7139208766790923
0,8,3,11,0.7028081107530396,0.7022181464958981
0,8,4,12,0.7387472931642607,0.7369685909995893
0,8,5,13,0.774536217733315,0.7735066721514436
0,8,6,14,0.8148866071680667,0.8114168923398961
0,8,7,15,0.8641217701566704,0.8589980341918559
0,8,8,16,0.853618423656757,0.8513279529749594
0,8,9,17,0.8141807117085543,0.8116655217088702
0,9,0,9,0.6738091296489326,0.673865263073441
0,9,1,10,0.6901277739595258,0.6904195988486912
0,9,2,11,0.7071055118090376,0.7069536360652593
0,9,3,12,0.7482257006813506,0.7476675185408989
0,9,4,13,0.761790619234365,0.7627452828814342
0,9,5,14,0.8390783674638638,0.8362591203581048
0,9,6,15,0.8545678829882091,0.8521526986093553
0,9,7,16,0.8673362578080197,0.8702840885903109
0,9,8,17,0.8510480314612281,0.8496695505009658
0,9,9,18,0.8337434155312382,0.8315189393061498
1,0,0,1,0.9676072101748684,0.9672948789212505
1,0,1,1,0.9732163708874078,0.9730409134220683
1,0,2,2,0.9727921374754767,0.9723848839964053
1,0,3,3,0.9741298630735135,0.9738271191053469
1,0,4,4,0.9738385748389636,0.9735336755907085
1,0,5,5,0.9753943899221387,0.9750099623479127
1,0,6,6,0.9848538228645783,0.9843117703346222
1,0,7,7,0.9817431703301283,0.9814019796326634
